mtry,ntree,oob_error
1,50,0.256559766763848
1,100,0.209912536443149
1,150,0.207968901846453
1,200,0.196307094266278
1,250,0.196307094266278
1,300,0.199222546161322
1,350,0.189504373177843
1,400,0.193391642371234
1,450,0.177842565597668
1,500,0.192419825072886
1,550,0.192419825072886
1,600,0.182701652089407
1,650,0.191448007774538
1,700,0.19047619047619
1,750,0.180758017492711
1,800,0.181729834791059
2,50,0.198250728862974
2,100,0.179786200194363
2,150,0.17201166180758
2,200,0.180758017492711
2,250,0.166180758017493
2,300,0.15354713313897
2,350,0.163265306122449
2,400,0.156462585034014
2,450,0.149659863945578
2,500,0.151603498542274
2,550,0.151603498542274
2,600,0.150631681243926
2,650,0.165208940719145
2,700,0.15354713313897
2,750,0.156462585034014
2,800,0.15354713313897
3,50,0.187560738581147
3,100,0.188532555879495
3,150,0.174927113702624
3,200,0.163265306122449
3,250,0.171039844509232
3,300,0.167152575315841
3,350,0.157434402332362
3,400,0.159378036929057
3,450,0.163265306122449
3,500,0.160349854227405
3,550,0.146744412050535
3,600,0.159378036929057
3,650,0.161321671525753
3,700,0.15354713313897
3,750,0.159378036929057
3,800,0.158406219630709
4,50,0.19533527696793
4,100,0.187560738581147
4,150,0.164237123420797
4,200,0.174927113702624
4,250,0.168124392614189
4,300,0.157434402332362
4,350,0.166180758017493
4,400,0.160349854227405
4,450,0.166180758017493
4,500,0.167152575315841
4,550,0.159378036929057
4,600,0.154518950437318
4,650,0.149659863945578
4,700,0.158406219630709
4,750,0.156462585034014
4,800,0.157434402332362
5,50,0.188532555879495
5,100,0.179786200194363
5,150,0.171039844509232
5,200,0.159378036929057
5,250,0.168124392614189
5,300,0.166180758017493
5,350,0.160349854227405
5,400,0.169096209912536
5,450,0.165208940719145
5,500,0.167152575315841
5,550,0.162293488824101
5,600,0.157434402332362
5,650,0.161321671525753
5,700,0.170068027210884
5,750,0.163265306122449
5,800,0.152575315840622
6,50,0.191448007774538
6,100,0.179786200194363
6,150,0.167152575315841
6,200,0.171039844509232
6,250,0.169096209912536
6,300,0.175898931000972
6,350,0.162293488824101
6,400,0.159378036929057
6,450,0.174927113702624
6,500,0.155490767735666
6,550,0.158406219630709
6,600,0.161321671525753
6,650,0.150631681243926
6,700,0.160349854227405
6,750,0.150631681243926
6,800,0.160349854227405
7,50,0.180758017492711
7,100,0.184645286686103
7,150,0.168124392614189
7,200,0.177842565597668
7,250,0.167152575315841
7,300,0.172983479105928
7,350,0.166180758017493
7,400,0.159378036929057
7,450,0.164237123420797
7,500,0.164237123420797
7,550,0.167152575315841
7,600,0.164237123420797
7,650,0.157434402332362
7,700,0.165208940719145
7,750,0.163265306122449
7,800,0.162293488824101
8,50,0.189504373177843
8,100,0.171039844509232
8,150,0.17687074829932
8,200,0.179786200194363
8,250,0.17201166180758
8,300,0.172983479105928
8,350,0.166180758017493
8,400,0.165208940719145
8,450,0.167152575315841
8,500,0.165208940719145
8,550,0.164237123420797
8,600,0.164237123420797
8,650,0.161321671525753
8,700,0.158406219630709
8,750,0.159378036929057
8,800,0.166180758017493
9,50,0.189504373177843
9,100,0.177842565597668
9,150,0.162293488824101
9,200,0.169096209912536
9,250,0.164237123420797
9,300,0.168124392614189
9,350,0.162293488824101
9,400,0.160349854227405
9,450,0.167152575315841
9,500,0.171039844509232
9,550,0.162293488824101
9,600,0.163265306122449
9,650,0.166180758017493
9,700,0.160349854227405
9,750,0.169096209912536
9,800,0.162293488824101
10,50,0.194363459669582
10,100,0.183673469387755
10,150,0.172983479105928
10,200,0.164237123420797
10,250,0.167152575315841
10,300,0.163265306122449
10,350,0.162293488824101
10,400,0.156462585034014
10,450,0.164237123420797
10,500,0.160349854227405
10,550,0.164237123420797
10,600,0.168124392614189
10,650,0.161321671525753
10,700,0.166180758017493
10,750,0.161321671525753
10,800,0.168124392614189
11,50,0.182701652089407
11,100,0.182701652089407
11,150,0.175898931000972
11,200,0.169096209912536
11,250,0.17201166180758
11,300,0.177842565597668
11,350,0.171039844509232
11,400,0.164237123420797
11,450,0.165208940719145
11,500,0.171039844509232
11,550,0.163265306122449
11,600,0.163265306122449
11,650,0.163265306122449
11,700,0.165208940719145
11,750,0.171039844509232
11,800,0.152575315840622
12,50,0.210884353741497
12,100,0.173955296404276
12,150,0.170068027210884
12,200,0.177842565597668
12,250,0.179786200194363
12,300,0.169096209912536
12,350,0.167152575315841
12,400,0.162293488824101
12,450,0.164237123420797
12,500,0.173955296404276
12,550,0.171039844509232
12,600,0.161321671525753
12,650,0.168124392614189
12,700,0.161321671525753
12,750,0.17201166180758
12,800,0.163265306122449
13,50,0.201166180758018
13,100,0.186588921282799
13,150,0.171039844509232
13,200,0.170068027210884
13,250,0.169096209912536
13,300,0.170068027210884
13,350,0.171039844509232
13,400,0.171039844509232
13,450,0.168124392614189
13,500,0.163265306122449
13,550,0.177842565597668
13,600,0.171039844509232
13,650,0.159378036929057
13,700,0.167152575315841
13,750,0.171039844509232
13,800,0.160349854227405
14,50,0.182701652089407
14,100,0.183673469387755
14,150,0.17201166180758
14,200,0.182701652089407
14,250,0.181729834791059
14,300,0.171039844509232
14,350,0.172983479105928
14,400,0.172983479105928
14,450,0.179786200194363
14,500,0.17201166180758
14,550,0.171039844509232
14,600,0.169096209912536
14,650,0.173955296404276
14,700,0.169096209912536
14,750,0.167152575315841
14,800,0.170068027210884
